id,type,src,dst,app,latency,message,ctime,size,buffer
1098,LINK,190,109,3,54.551606,M.USER.APP.3,8528.6895075,2758030,593
1101,LINK,94,3,5,22.42662342857143,M.USER.APP.5,8528.995454666667,2986364,593
1072,LINK,3,7,3,11.14515947368421,M.USER.APP.3,8532.805560785717,2758030,593
479,LINK,74,153,7,37.450138333333335,M.USER.APP.7,8536.413350527775,4350415,593
1083,LINK,7,53,2,34.5938254,M.USER.APP.2,8537.583534399999,2969127,593
749,LINK,112,4,4,30.7944858,M.USER.APP.4,8537.726653500004,3972429,593
722,LINK,15,7,3,18.394004285714285,M.USER.APP.3,8538.5521337,2758030,593
962,LINK,110,6,9,34.554714125,M.USER.APP.9,8539.824335333315,4437713,593
1082,LINK,6,53,2,14.2969127,M.USER.APP.2,8540.870156099998,2969127,592
1095,LINK,175,106,2,36.989709,M.USER.APP.2,8540.989709,2969127,592
1072,LINK,7,66,3,22.34475375,M.USER.APP.3,8543.950720259401,2758030,592
1101,LINK,3,15,5,26.33181822222222,M.USER.APP.5,8551.422078095238,2986364,591
726,LINK,106,104,7,38.4350415,M.USER.APP.7,8552.70189241669,4350415,590
1076,LINK,109,117,6,42.57688125,M.USER.APP.6,8554.873061500002,2307525,590
1103,LINK,196,185,7,49.08760375,M.USER.APP.7,8556.450138333334,4350415,589
1102,LINK,190,109,6,54.461505,M.USER.APP.6,8557.266388749998,2307525,588
1104,LINK,197,173,8,57.031902,M.USER.APP.8,8561.031902,3095706,588
748,LINK,185,106,3,57.459671666666665,M.USER.APP.3,8565.749875750022,2758030,588
1072,LINK,66,145,3,15.459671666666667,M.USER.APP.3,8566.295474009401,2758030,588
749,LINK,4,101,4,16.6620715,M.USER.APP.4,8568.521139300003,3972429,588
547,LINK,74,153,0,36.64658466666667,M.USER.APP.0,8570.628878749998,1939754,588
962,LINK,6,1,9,8.24653961111111,M.USER.APP.9,8574.379049458315,4437713,588
1096,LINK,64,7,2,60.5938254,M.USER.APP.2,8576.989709,2969127,588
961,LINK,173,110,8,19.031902,M.USER.APP.8,8577.376999666649,3095706,588
1097,LINK,107,7,2,38.2969127,M.USER.APP.2,8577.4845635,2969127,588
1101,LINK,15,27,5,12.5972728,M.USER.APP.5,8577.753896317461,2986364,588
1095,LINK,106,15,2,30.2969127,M.USER.APP.2,8577.979417999999,2969127,588
962,LINK,1,11,9,20.554714125,M.USER.APP.9,8582.625589069426,4437713,587
749,LINK,101,171,4,24.7944858,M.USER.APP.4,8585.183210800004,3972429,586
961,LINK,110,0,8,28.6191412,M.USER.APP.8,8596.40890166665,3095706,583
1106,LINK,169,112,0,72.4849385,M.USER.APP.0,8600,1939754,583
1107,LINK,196,185,1,49.0304315,M.USER.APP.1,8600,4121726,584
1108,LINK,195,175,2,40.989709,M.USER.APP.2,8600,2969127,585
1109,LINK,172,64,2,76.989709,M.USER.APP.2,8600,2969127,586
1110,LINK,178,107,2,77.4845635,M.USER.APP.2,8600,2969127,587
