id,type,src,dst,app,latency,message,ctime,size,buffer
474,LINK,190,109,3,54.551606,M.USER.APP.3,3728.6895075,2758030,385
416,LINK,110,4,9,12.4437713,M.USER.APP.9,3730.356469333332,4437713,385
280,LINK,100,74,3,34.30644777777778,M.USER.APP.3,3732.0535220000024,2758030,385
477,LINK,112,100,5,12.3732955,M.USER.APP.5,3732.995454666667,2986364,385
460,LINK,74,153,2,36.989709,M.USER.APP.2,3736.0179945451155,2969127,384
320,LINK,112,100,4,12.496553625,M.USER.APP.4,3736.9511437500014,3972429,384
459,LINK,7,74,2,10.424161,M.USER.APP.2,3737.5835343999997,2969127,384
471,LINK,175,106,2,36.989709,M.USER.APP.2,3740.989709,2969127,384
416,LINK,4,7,9,5.246539611111111,M.USER.APP.9,3742.800240633332,4437713,384
477,LINK,100,74,5,34.331818222222225,M.USER.APP.5,3745.368750166667,2986364,384
458,LINK,74,153,2,36.989709,M.USER.APP.2,3746.4421555451154,2969127,384
416,LINK,7,74,9,10.633959,M.USER.APP.9,3748.046780244443,4437713,384
479,LINK,196,185,7,49.08760375,M.USER.APP.7,3756.450138333333,4350415,384
459,LINK,74,153,2,36.989709,M.USER.APP.2,3756.8663165451153,2969127,384
478,LINK,190,109,6,54.461505,M.USER.APP.6,3757.2663887500003,2307525,384
320,LINK,100,74,4,34.441381,M.USER.APP.4,3757.865303791667,3972429,384
426,LINK,3,7,6,11.121448684210526,M.USER.APP.6,3758.451816928574,2307525,384
334,LINK,74,153,5,36.99545466666667,M.USER.APP.5,3758.9072717500003,2986364,384
480,LINK,197,173,8,57.031902,M.USER.APP.8,3761.031902,3095706,384
416,LINK,74,153,9,37.47923766666667,M.USER.APP.9,3767.500275545115,4437713,384
415,LINK,173,110,8,19.031902,M.USER.APP.8,3767.9091336666656,3095706,384
426,LINK,7,74,6,10.32964642857143,M.USER.APP.6,3769.5732656127843,2307525,384
323,LINK,185,112,7,55.08760375,M.USER.APP.7,3770.1885687500035,4350415,384
284,LINK,112,100,7,12.543801875,M.USER.APP.7,3774.7963720000025,4350415,383
472,LINK,64,7,2,60.5938254,M.USER.APP.2,3776.989709,2969127,383
473,LINK,107,7,2,38.2969127,M.USER.APP.2,3777.4845635,2969127,383
471,LINK,106,15,2,30.2969127,M.USER.APP.2,3777.979418,2969127,383
426,LINK,74,153,6,36.769175,M.USER.APP.6,3779.9029120413556,2307525,383
435,LINK,109,3,3,32.39400428571429,M.USER.APP.3,3780.673776500003,2758030,383
415,LINK,110,4,8,12.3095706,M.USER.APP.8,3786.941035666666,3095706,383
284,LINK,100,74,7,34.483379444444445,M.USER.APP.7,3787.3401738750026,4350415,383
222,LINK,74,153,0,36.64658466666667,M.USER.APP.0,3793.122799972223,1939754,383
415,LINK,4,7,8,5.171983666666667,M.USER.APP.8,3799.2506062666657,3095706,383
482,LINK,169,112,0,72.4849385,M.USER.APP.0,3800,1939754,384
483,LINK,196,185,1,49.0304315,M.USER.APP.1,3800,4121726,385
484,LINK,195,175,2,40.989709,M.USER.APP.2,3800,2969127,386
485,LINK,172,64,2,76.989709,M.USER.APP.2,3800,2969127,387
486,LINK,178,107,2,77.4845635,M.USER.APP.2,3800,2969127,388
487,LINK,194,190,3,28.6895075,M.USER.APP.3,3800,2758030,389
488,LINK,196,185,3,48.6895075,M.USER.APP.3,3800,2758030,390
489,LINK,169,112,4,72.99310725,M.USER.APP.4,3800,3972429,391
490,LINK,187,112,5,32.99545466666667,M.USER.APP.5,3800,2986364,392
491,LINK,194,190,6,28.57688125,M.USER.APP.6,3800,2307525,393
