id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
425,COMP_M,5,5_25,5_(19-25),32,38,153,153,5_19,3.326632663266327,16259.861276651984,16263.18790931525,16259.861276651984,16259.861276651984
425,COMP_M,5,5_20,5_(19-20),32,33,153,153,5_19,5.9812981298129815,16259.861276651984,16265.842574781796,16259.861276651984,16259.861276651984
425,COMP_M,5,5_22,5_(19-22),32,35,153,153,5_19,3.670967096709671,16259.861276651984,16263.532243748694,16259.861276651984,16259.861276651984
425,COMP_M,5,5_26,5_(20-26),33,39,153,153,5_20,2.2708270827082706,16265.842574781796,16268.113401864504,16265.842574781796,16265.842574781796
425,COMP_M,5,5_21,5_(20-21),33,34,153,153,5_20,4.0832083208320835,16265.842574781796,16269.925783102628,16265.842574781796,16265.842574781796
425,COMP_M,5,5_23,5_(20-23),33,36,153,153,5_20,4.345234523452345,16265.842574781796,16270.18780930525,16265.842574781796,16265.842574781796
589,COMP_M,2,2_7,M.USER.APP.2,3,21,172,153,None,4.572357235723572,16294.205021055524,16298.777378291248,4600.0,16294.205021055524
589,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,16298.777378291248,16302.298330386458,16298.777378291248,16298.777378291248
543,COMP_M,6,6_27,M.USER.APP.6,9,41,194,153,None,3.393939393939394,16330.974196055522,16334.368135449462,4200.0,16330.974196055522
543,COMP_M,6,6_28,6_(27-28),41,42,153,153,6_27,5.891989198919892,16334.368135449462,16340.260124648383,16334.368135449462,16334.368135449462
543,COMP_M,6,6_29,6_(28-29),42,43,153,153,6_28,6.000300030003,16340.260124648383,16346.260424678385,16340.260124648383,16340.260124648383
543,COMP_M,6,6_30,6_(28-30),42,44,153,153,6_28,2.8644864486448647,16340.260124648383,16343.124611097028,16340.260124648383,16340.260124648383
543,COMP_M,6,6_31,6_(28-31),42,45,153,153,6_28,5.935193519351936,16340.260124648383,16346.195318167735,16340.260124648383,16340.260124648383
543,COMP_M,6,6_32,6_(29-32),43,40,153,153,6_29,4.658265826582658,16346.260424678385,16350.918690504968,16346.260424678385,16346.260424678385
533,COMP_M,9,9_39,M.USER.APP.9,12,56,197,153,None,4.191819181918192,16368.453433722188,16372.645252904107,4100.0,16368.453433722188
